date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:47	8684/8684	---M--	200	added ('OK')	image/png	etag:%2221ec-662e5c0e-77916a25bc552d91;;;%22	https://askbootstrap.com/preview/swiggi/img/icons/Fries.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/icons/Fries.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:48	23731/23731	---M--	200	added ('OK')	image/png	etag:%225cb3-662e5c0f-86552aa1d82777a0;;;%22	https://askbootstrap.com/preview/swiggi/img/icons/Pizza.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/icons/Pizza.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:48	10248/10248	---M--	200	added ('OK')	image/png	etag:%222808-662e5c0e-43730a2e03f758fb;;;%22	https://askbootstrap.com/preview/swiggi/img/icons/Burger.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/icons/Burger.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:49	7414/7414	---M--	200	added ('OK')	image/png	etag:%221cf6-662e5c0e-bdf46dac560e8709;;;%22	https://askbootstrap.com/preview/swiggi/img/icons/Sandwich.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/icons/Sandwich.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:49	5301/5301	---M--	200	added ('OK')	image/png	etag:%2214b5-662e5c0d-9d3c61ae05c417e1;;;%22	https://askbootstrap.com/preview/swiggi/img/icons/Coffee.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/icons/Coffee.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:50	15475/15475	---M--	200	added ('OK')	image/png	etag:%223c73-662e5c0d-8dd5c424920475c4;;;%22	https://askbootstrap.com/preview/swiggi/img/icons/Steak.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/icons/Steak.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:50	4716/4716	---M--	200	added ('OK')	image/png	etag:%22126c-662e5c10-7320b5cd09172a64;;;%22	https://askbootstrap.com/preview/swiggi/img/icons/ColaCan.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/icons/ColaCan.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:50	14363/14363	---M--	200	added ('OK')	image/png	etag:%22381b-662e5c0f-f8b35452ae70f912;;;%22	https://askbootstrap.com/preview/swiggi/img/icons/Breakfast.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/icons/Breakfast.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:51	11507/11507	---M--	200	added ('OK')	image/png	etag:%222cf3-662e5c0d-e90e04242f57b864;;;%22	https://askbootstrap.com/preview/swiggi/img/icons/Salad.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/icons/Salad.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:51	23273/23273	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2011:55:02%20GMT	https://askbootstrap.com/preview/swiggi/restaurant.html	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/restaurant.html	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:52	283780/283780	---M--	200	added ('OK')	image/png	etag:%2245484-662e4e51-46f24d376c8bf220;;;%22	https://askbootstrap.com/preview/swiggi/img/trending1.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/trending1.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:53	329617/329617	---M--	200	added ('OK')	image/png	etag:%2250791-662e4e33-2543e1ed64260ce;;;%22	https://askbootstrap.com/preview/swiggi/img/trending2.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/trending2.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:53	288920/288920	---M--	200	added ('OK')	image/png	etag:%2246898-662e4e31-cff8adbbd494f696;;;%22	https://askbootstrap.com/preview/swiggi/img/trending3.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/trending3.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:53	119963/119963	---M--	200	added ('OK')	image/jpeg	etag:%221d49b-662e4e2f-1e6ee4603e842916;;;%22	https://askbootstrap.com/preview/swiggi/img/pro1.jpg	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/pro1.jpg	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:54	51868/51868	---M--	200	added ('OK')	image/jpeg	etag:%22ca9c-662e4e4f-f7103a1a299ddcb8;;;%22	https://askbootstrap.com/preview/swiggi/img/pro2.jpg	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/pro2.jpg	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:55	135150/135150	---M--	200	added ('OK')	image/jpeg	etag:%2220fee-662e4e50-55e319394e31db82;;;%22	https://askbootstrap.com/preview/swiggi/img/pro3.jpg	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/pro3.jpg	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:55	64629/64629	---M--	200	added ('OK')	image/jpeg	etag:%22fc75-662e4e31-a568c23aac1f3ae5;;;%22	https://askbootstrap.com/preview/swiggi/img/pro4.jpg	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/pro4.jpg	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:55	9957/9957	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2011:55:04%20GMT	https://askbootstrap.com/preview/swiggi/most_popular.html	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/most_popular.html	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:56	253068/253068	---M--	200	added ('OK')	image/png	etag:%223dc8c-662e4e32-a9bc29fc1a16522e;;;%22	https://askbootstrap.com/preview/swiggi/img/popular1.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/popular1.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:57	289999/289999	---M--	200	added ('OK')	image/png	etag:%2246ccf-662e4e2e-8387b038382c8355;;;%22	https://askbootstrap.com/preview/swiggi/img/popular2.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/popular2.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:58	358332/358332	---M--	200	added ('OK')	image/png	etag:%22577bc-662e4e34-7db239510c5b1453;;;%22	https://askbootstrap.com/preview/swiggi/img/popular3.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/popular3.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:59	347105/347105	---M--	200	added ('OK')	image/png	etag:%2254be1-662e4e32-a76b35f393302e19;;;%22	https://askbootstrap.com/preview/swiggi/img/popular4.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/popular4.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:59	347024/347024	---M--	200	added ('OK')	image/png	etag:%2254b90-662e4e30-d25ef9391c85786e;;;%22	https://askbootstrap.com/preview/swiggi/img/sales1.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/sales1.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:59	288920/288920	---M--	200	added ('OK')	image/png	etag:%2246898-662e4e30-bd7bf555cce93de7;;;%22	https://askbootstrap.com/preview/swiggi/img/sales2.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/sales2.png	(from https://askbootstrap.com/preview/swiggi/home.html)
12:00:00	329617/329617	---M--	200	added ('OK')	image/png	etag:%2250791-662e4e33-6f2955b8c3afc6a6;;;%22	https://askbootstrap.com/preview/swiggi/img/sales3.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/sales3.png	(from https://askbootstrap.com/preview/swiggi/home.html)
